pokemon_id;name;classification;type_1;type_2;weight;height;rarity
29;Nidoran F;Poison Pin Pokèmon;Poison;N/A;7.0;0.4;Very Common

30;Nidorina;Poison Pin Pokèmon;Poison;N/A;20.0;0.8;Uncommon

31;Nidoqueen;Drill Pokèmon;Poison;Ground;60.0;1.3;Very Rare

32;Nidoran M;Poison Pin Pokèmon;Poison;N/A;9.0;0.5;Very Common

33;Nidorino;Poison Pin Pokèmon;Poison;N/A;19.5;0.9;Uncommon

34;Nidoking;Drill Pokèmon;Poison;Ground;62.0;1.4;Very Rare

35;Clefairy;Fairy Pokèmon;Normal;N/A;7.5;0.6;Common

36;Clefable;Fairy Pokèmon;Normal;N/A;40.0;1.3;Epic

37;Vulpix;Fox Pokèmon;Fire;N/A;9.9;0.6;Common

38;Ninetales;Fox Pokèmon;Fire;N/A;19.9;1.1;Uncommon

39;Jigglypuff;Balloon Pokèmon;Normal;N/A;5.5;0.5;Common

40;Wigglytuff;Balloon Pokèmon;Normal;N/A;12.0;1.0;Uncommon

41;Zubat;Bat Pokèmon;Poison;Flying;7.5;0.8;Very Common

42;Golbat;Bat Pokèmon;Poison;Flying;55.0;1.6;Common

43;Oddish;Weed Pokèmon;Grass;Poison;5.4;0.5;Very Common

44;Gloom;Weed Pokèmon;Grass;Poison;8.6;0.8;Uncommon

45;Vileplume;Flower Pokèmon;Grass;Poison;18.6;1.2;Very Rare

46;Paras;Mushroom Pokèmon;Bug;Grass;5.4;0.3;Very Common

47;Parasect;Mushroom Pokèmon;Bug;Grass;29.5;1.0;Uncommon

48;Venonat;Insect Pokèmon;Bug;Poison;30.0;1.0;Very Common

49;Venomoth;Poison Moth Pokèmon;Bug;Poison;12.5;1.5;Very Rare

50;Diglett;Mole Pokèmon;Ground;N/A;0.8;0.2;Common

51;Dugtrio;Mole Pokèmon;Ground;N/A;33.3;0.7;Uncommon

52;Meowth;Scratch Cat Pokèmon;Normal;N/A;4.2;0.4;Very Common

53;Persian;Classy Cat Pokèmon;Normal;N/A;32.0;1.0;Common

54;Psyduck;Duck Pokèmon;Water;N/A;19.6;0.8;Common

55;Golduck;Duck Pokèmon;Water;N/A;76.6;1.7;Uncommon

56;Mankey;Pig Monkey Pokèmon;Fighting;N/A;28.0;0.5;Very Common

57;Primeape;Pig Monkey Pokèmon;Fighting;N/A;32.0;1.0;Uncommon

58;Growlithe;Puppy Pokèmon;Fire;N/A;19.0;0.7;Common

59;Arcanine;Legendary Pokèmon;Fire;N/A;155.0;1.9;Rare

60;Poliwag;Tadpole Pokèmon;Water;N/A;12.4;0.6;Very Common

61;Poliwhirl;Tadpole Pokèmon;Water;N/A;20.0;1.0;Uncommon

62;Poliwrath;Tadpole Pokèmon;Water;Fighting;54.0;1.3;Very Rare

63;Abra;Psi Pokèmon;Psychic;N/A;19.5;0.9;Common

64;Kadabra;Psi Pokèmon;Psychic;N/A;56.5;1.3;Uncommon

65;Alakazam;Psi Pokèmon;Psychic;N/A;48.0;1.5;Very Rare

66;Machop;Superpower Pokèmon;Fighting;N/A;19.5;0.8;Very Common

67;Machoke;Superpower Pokèmon;Fighting;N/A;70.5;1.5;Common

68;Machamp;Superpower Pokèmon;Fighting;N/A;130.0;1.6;Uncommon

69;Bellsprout;Flower Pokèmon;Grass;Poison;4.0;0.7;Very Common

70;Weepinbell;Flycatcher Pokèmon;Grass;Poison;6.4;1.0;Rare

71;Victreebel;Flycatcher Pokèmon;Grass;Poison;15.5;1.7;Very Rare

72;Tentacool;Jellyfish Pokèmon;Water;Poison;45.5;0.9;Common

73;Tentacruel;Jellyfish Pokèmon;Water;Poison;55.0;1.6;Uncommon

74;Geodude;Rock Pokèmon;Rock;Ground;20.0;0.4;Very Common

75;Graveler;Rock Pokèmon;Rock;Ground;105.0;1.0;Common

76;Golem;Megaton Pokèmon;Rock;Ground;300.0;1.4;Uncommon

77;Ponyta;Fire Horse Pokèmon;Fire;N/A;30.0;1.0;Common

78;Rapidash;Fire Horse Pokèmon;Fire;N/A;95.0;1.7;Rare

79;Slowpoke;Dopey Pokèmon;Water;Psychic;36.0;1.2;Very Common

80;Slowbro;Hermit Crab Pokèmon;Water;Psychic;78.5;1.6;Rare

81;Magnemite;Magnet Pokèmon;Electric;Steel;6.0;0.3;Very Common

82;Magneton;Magnet Pokèmon;Electric;Steel;60.0;1.0;Common

83;Farfetch'd;Wild Duck Pokèmon;Normal;Flying;15.0;0.8;Rare

84;Doduo;Twin Bird Pokèmon;Normal;Flying;39.2;1.4;Common

85;Dodrio;Triple Bird Pokèmon;Normal;Flying;85.2;1.8;Uncommon

86;Seel;Sea Lion Pokèmon;Water;N/A;90.0;1.1;Common

87;Dewgong;Sea Lion Pokèmon;Water;Ice;120.0;1.7;Very Rare

88;Grimer;Sludge Pokèmon;Poison;N/A;30.0;0.9;Common

89;Muk;Sludge Pokèmon;Poison;N/A;30.0;1.2;Rare

90;Shellder;Bivalve Pokèmon;Water;N/A;4.0;0.3;Common

91;Cloyster;Bivalve Pokèmon;Water;Ice;132.5;1.5;Uncommon

92;Gastly;Gas Pokèmon;Ghost;Poison;0.1;1.3;Uncommon

93;Haunter;Gas Pokèmon;Ghost;Poison;0.1;1.6;Common

94;Gengar;Shadow Pokèmon;Ghost;Poison;40.5;1.5;Very Rare

95;Onix;Rock Snake Pokèmon;Rock;Ground;210.0;8.8;Rare

96;Drowzee;Hypnosis Pokèmon;Psychic;N/A;32.4;1.0;Common

97;Hypno;Hypnosis Pokèmon;Psychic;N/A;75.6;1.6;Uncommon

98;Krabby;River Crab Pokèmon;Water;N/A;6.5;0.4;Very Common

99;Kingler;Pincer Pokèmon;Water;N/A;60.0;1.3;Rare

100;Voltorb;Ball Pokèmon;Electric;N/A;10.4;0.5;Very Common

101;Electrode;Ball Pokèmon;Electric;N/A;66.6;1.2;Common

102;Exeggcute;Egg Pokèmon;Grass;Psychic;2.5;0.4;Common

103;Exeggutor;Coconut Pokèmon;Grass;Psychic;120.0;2.0;Rare

104;Cubone;Lonely Pokèmon;Ground;N/A;6.5;0.4;Common

105;Marowak;Bone Keeper Pokèmon;Ground;N/A;45.0;1.0;Very Rare

106;Hitmonlee;Kicking Pokèmon;Fighting;N/A;49.8;1.5;Common

107;Hitmonchan;Punching Pokèmon;Fighting;N/A;50.2;1.4;Uncommon

108;Lickitung;Licking Pokèmon;Normal;N/A;65.5;1.2;Uncommon

109;Koffing;Poison Gas Pokèmon;Poison;N/A;1.0;0.6;Common

110;Weezing;Poison Gas Pokèmon;Poison;N/A;9.5;1.2;Uncommon

111;Rhyhorn;Spikes Pokèmon;Ground;Rock;115.0;1.0;Common

112;Rhydon;Drill Pokèmon;Ground;Rock;120.0;1.9;Rare

113;Chansey;Egg Pokèmon;Normal;N/A;34.6;1.1;Uncommon

114;Tangela;Vine Pokèmon;Grass;N/A;35.0;1.0;Rare

115;Kangaskhan;Parent Pokèmon;Normal;N/A;80.0;2.2;Very Rare

116;Horsea;Dragon Pokèmon;Water;N/A;8.0;0.4;Common

117;Seadra;Dragon Pokèmon;Water;N/A;25.0;1.2;Uncommon

118;Goldeen;Goldfish Pokèmon;Water;N/A;15.0;0.6;Very Common

119;Seaking;Goldfish Pokèmon;Water;N/A;39.0;1.3;Uncommon

120;Staryu;Starshape Pokèmon;Water;N/A;34.5;0.8;Common

121;Starmie;Mysterious Pokèmon;Water;Psychic;80.0;1.1;Uncommon

122;Mr. Mime;Barrier Pokèmon;Psychic;N/A;54.5;1.3;Rare

123;Scyther;Mantis Pokèmon;Bug;Flying;56.0;1.5;Uncommon

124;Jynx;Humanshape Pokèmon;Ice;Psychic;40.6;1.4;Common

125;Electabuzz;Electric Pokèmon;Electric;N/A;30.0;1.1;Very Rare

126;Magmar;Spitfire Pokèmon;Fire;N/A;44.5;1.3;Rare

127;Pinsir;Stagbeetle Pokèmon;Bug;N/A;55.0;1.5;Rare

128;Tauros;Wild Bull Pokèmon;Normal;N/A;88.4;1.4;Epic

129;Magikarp;Fish Pokèmon;Water;N/A;10.0;0.9;Very Common

130;Gyarados;Atrocious Pokèmon;Water;Flying;235.0;6.5;Very Rare

131;Lapras;Transport Pokèmon;Water;Ice;220.0;2.5;Very Rare

132;Ditto;Transform Pokèmon;Normal;N/A;4.0;0.3;Legendary

133;Eevee;Evolution Pokèmon;Normal;N/A;6.5;0.3;Common

134;Vaporeon;Bubble Jet Pokèmon;Water;N/A;29.0;1.0;Very Rare

135;Jolteon;Lightning Pokèmon;Electric;N/A;24.5;0.8;Very Rare

136;Flareon;Flame Pokèmon;Fire;N/A;25.0;0.9;Very Rare

137;Porygon;Virtual Pokèmon;Normal;N/A;36.5;0.8;Special

138;Omanyte;Spiral Pokèmon;Rock;Water;7.5;0.4;Special

139;Omastar;Spiral Pokèmon;Rock;Water;35.0;1.0;Epic

140;Kabuto;Shellfish Pokèmon;Rock;Water;11.5;0.5;Uncommon

141;Kabutops;Shellfish Pokèmon;Rock;Water;40.5;1.3;Very Rare

142;Aerodactyl;Fossil Pokèmon;Rock;Flying;59.0;1.8;Special

143;Snorlax;Sleeping Pokèmon;Normal;N/A;460.0;2.1;Rare

144;Articuno;Freeze Pokèmon;Ice;Flying;55.4;1.7;Legendary

145;Zapdos;Electric Pokèmon;Electric;Flying;52.6;1.6;Legendary

146;Moltres;Flame Pokèmon;Fire;Flying;60.0;2.0;Legendary

147;Dratini;Dragon Pokèmon;Dragon;N/A;3.3;1.8;Uncommon

148;Dragonair;Dragon Pokèmon;Dragon;N/A;16.5;4.0;Very Rare

149;Dragonite;Dragon Pokèmon;Dragon;Flying;210.0;2.2;Epic

150;Mewtwo;Genetic Pokèmon;Psychic;N/A;122.0;2.0;Legendary

151;Mew;New Species Pokèmon;Psychic;N/A;4.0;0.4;Legendary
